SEP=;
OBST ID;TYPE;COORD;LAT;LONG;HGT AGL (FT);ELEV MSL (FT);LGT TYPE;LGT HR;MARKINGS
EFINOB 11509;Mast;662030.8N 0271013.5E;66.34187562;27.17040866;433;1051;F R;HN;Y
EFINOB 11526;Mast;670115.8N 0271254.9E;67.02106256;27.21523632;863;2419;FLG W;H24;Y
EFINOB 11551;Mast;681010.5N 0254656.7E;68.16957097;25.78241398;404;1311;F R;HN;Y
EFINOB 11577;Mast;685108.3N 0270722.2E;68.85230247;27.12282118;739;1928;FLG W;H24;Y
EFINOB 11592;Mast;695350.5N 0270324.9E;69.89737206;27.05692122;397;1445;F R;HN;Y
EFINOB 11607;Mast;633314.0N 0243346.0E;63.55389754;24.56277788;486;1065;F R;HN;Y
EFINOB 11639;Mast;640351.9N 0234026.7E;64.06440806;23.67409195;348;393;F R;HN;Y
EFINOB 11653;Mast;640424.5N 0243237.1E;64.07347143;24.54363796;329;520;F R;HN;Y
EFINOB 11654;Mast;640416.3N 0243509.3E;64.07119874;24.58592775;539;755;FLG W;H24;Y
EFINOB 11660;Mast;641526.9N 0244912.5E;64.25746218;24.82013408;334;557;F R;HN;Y
EFINOB 11665;Mast;640842.0N 0252209.7E;64.1449989;25.36935611;329;745;F R;HN;Y
EFINOB 11666;Chimney;640722.0N 0252446.7E;64.12277342;25.41297701;427;733;F R;HN;NIL
EFINOB 11667;Mast;640958.3N 0251539.6E;64.16620708;25.26101077;1073;1566;FLG W;H24;Y
EFINOB 11671;Chimney;643825.1N 0242413.0E;64.64029609;24.40361742;345;366;F R;HN;Y
EFINOB 11672;Chimney;643823.9N 0242424.4E;64.63997738;24.40678045;345;369;F R;HN;NIL
EFINOB 11704;Mast;655602.0N 0244207.1E;65.93389334;24.70198559;332;434;F R;HN;Y
EFINOB 11705;Mast;660700.1N 0244156.1E;66.11670635;24.69891406;991;1436;FLG W;H24;Y
EFINOB 11721;Mast;664614.2N 0235709.2E;66.77061241;23.95254989;335;773;F R;HN;Y
EFINOB 11728;Mast;662228.4N 0251211.1E;66.37456109;25.20307275;366;852;F R;HN;Y
EFINOB 11734;Mast;664747.9N 0240658.0E;66.79663006;24.11610697;332;1348;F R;HN;Y
EFINOB 11735;Mast;664125.9N 0243704.2E;66.69054077;24.61782619;397;1322;F R;HN;Y
EFINOB 11751;Mast;673401.3N 0241241.1E;67.5670313;24.21141458;414;2699;FLG W;H24;Y
EFINOB 11772;Mast;682459.0N 0225019.5E;68.41638396;22.83875628;397;1743;F R;HN;Y
EFINOB 11785;Mast;610752.9N 0283229.0E;61.13134799;28.54139118;693;1031;FLG W;H24;Y
EFINOB 11792;Mast;610954.8N 0284659.1E;61.1652203;28.78307998;332;575;F R;HN;Y
EFINOB 11801;Chimney;611454.3N 0285154.9E;61.24840657;28.86525068;360;649;F R;HN;NIL
EFINOB 11804;Chimney;611458.8N 0285159.6E;61.24966968;28.8665484;449;717;F R;HN;NIL
EFINOB 11813;Mast;615026.8N 0285025.9E;61.84076802;28.84053903;413;914;F R;HN;Y
EFINOB 11831;Mast;615216.3N 0285151.2E;61.87119945;28.864209;365;785;F R;HN;Y
EFINOB 11846;Mast;624406.9N 0294900.1E;62.73526111;29.81670061;329;736;F R;HN;Y
EFINOB 11914;Mast;643259.0N 0295902.8E;64.54972439;29.98410257;330;1151;F R;HN;Y
EFINOB 11943;Mast;660936.7N 0290907.8E;66.16019883;29.15217742;394;1920;F R;HN;Y
EFINOB 11961;Mast;694018.1N 0290545.4E;69.67168932;29.09594338;329;929;F R;HN;Y
EFINOB 11968;Mast;624419.5N 0273229.9E;62.73876185;27.54163996;1044;1669;FLG W;H24;NIL
EFINOB 11978;Chimney;625244.3N 0274027.7E;62.87896871;27.67435504;391;667;F R;HN;NIL
EFINOB 11984;Mast;625335.7N 0273907.4E;62.89326202;27.6520669;366;786;F R;HN;Y
EFINOB 12009;Mast;631718.7N 0253850.0E;63.28852129;25.64722905;1054;1656;FLG W;H24;Y
EFINOB 12022;Mast;631326.8N 0264751.2E;63.22411754;26.79754981;432;995;F R;HN;Y
EFINOB 12073;Mast;630503.9N 0273944.8E;63.08442542;27.66245374;437;761;FLG R;HN;Y
EFINOB 12086;Mast;632242.2N 0274604.0E;63.37840017;27.76778685;386;1070;F R;HN;Y
EFINOB 12108;Mast;632155.9N 0282636.8E;63.3655382;28.44354783;464;1078;F R;HN;Y
EFINOB 12111;Mast;633748.4N 0270428.9E;63.63009903;27.07469474;378;1036;FLG W;H24;Y
EFINOB 12123;Mast;635129.2N 0272156.0E;63.85811198;27.36556493;353;1004;F R;HN;Y
EFINOB 12155;Mast;623419.2N 0254317.3E;62.57198699;25.72145886;404;782;F R;HN;Y
EFINOB 12156;Mast;623623.0N 0254014.3E;62.60639368;25.67063411;329;951;F R;HN;Y
EFINOB 12160;Mast;623256.6N 0255103.9E;62.54904906;25.85109519;329;809;F R;HN;Y
EFINOB 12174;Mast;615342.3N 0271725.0E;61.89506961;27.29027412;395;794;F R;HN;Y
EFINOB 12183;Mast;621601.2N 0270756.0E;62.26699143;27.13222026;443;1083;F R;HN;Y
